task_id,difficulty,seed,condition,score,passed,simulator_score,human_score,predicted_failure,annotator_a_failure,annotator_b_failure
task_02,69.941,0,hint_ladder,44.041,0,42.323,42.467,1,1,1
task_02,69.941,0,reflective,54.231,0,50.845,54.985,1,1,1
task_02,69.941,1,no_tutor,29.421,0,8.458,28.823,1,1,1
task_02,69.941,1,socratic,32.454,0,15.166,23.364,1,1,0
task_02,69.941,1,worked_example,37.644,0,40.905,37.512,1,1,1
task_02,69.941,1,hint_ladder,38.295,0,23.406,37.328,1,1,1
task_02,69.941,1,reflective,48.084,0,60.26,55.593,0,1,1
task_02,69.941,2,no_tutor,31.069,0,35.11,35.441,1,1,1
task_02,69.941,2,socratic,47.036,0,41.1,41.836,1,0,1
task_02,69.941,2,worked_example,34.174,0,28.12,29.877,1,1,1
task_02,69.941,2,hint_ladder,50.628,0,41.411,41.928,1,1,1
task_02,69.941,2,reflective,58.077,0,42.407,50.511,1,1,1
task_02,69.941,3,no_tutor,41.537,0,47.255,38.496,1,1,1
task_02,69.941,3,socratic,38.897,0,29.337,36.523,1,1,0
task_02,69.941,3,worked_example,36.753,0,31.314,37.773,1,1,1
task_02,69.941,3,hint_ladder,45.139,0,43.822,44.822,1,1,1
task_02,69.941,3,reflective,47.798,0,47.097,45.642,1,1,1
task_02,69.941,4,no_tutor,33.45,0,24.273,35.906,1,1,1
task_02,69.941,4,socratic,38.491,0,30.61,36.624,1,1,1
task_02,69.941,4,worked_example,37.109,0,33.27,38.84,1,1,1
task_02,69.941,4,hint_ladder,42.739,0,30.813,40.282,1,1,1
task_02,69.941,4,reflective,42.525,0,35.778,42.129,1,1,0
task_02,69.941,5,no_tutor,30.613,0,35.276,35.726,1,0,1
task_02,69.941,5,socratic,35.186,0,25.101,31.125,1,1,0
task_02,69.941,5,worked_example,32.151,0,55.937,35.219,1,1,1
task_02,69.941,5,hint_ladder,42.786,0,41.732,44.836,1,1,1
task_02,69.941,5,reflective,45.644,0,47.855,44.664,1,1,1
task_02,69.941,6,no_tutor,40.535,0,33.563,40.81,1,1,1
task_02,69.941,6,socratic,32.005,0,35.353,30.736,1,1,1
task_02,69.941,6,worked_example,35.77,0,39.106,40.026,1,1,1
task_02,69.941,6,hint_ladder,40.959,0,37.646,41.903,1,1,1
task_02,69.941,6,reflective,47.046,0,46.487,45.212,1,1,1
task_02,69.941,7,no_tutor,39.853,0,39.836,41.617,1,1,1
task_02,69.941,7,socratic,40.865,0,26.398,38.13,1,1,1
task_02,69.941,7,worked_example,37.804,0,30.131,35.937,1,1,1
task_02,69.941,7,hint_ladder,46.014,0,42.041,46.776,1,1,0
task_02,69.941,7,reflective,47.208,0,31.296,44.533,1,1,1
task_03,28.383,0,no_tutor,66.439,1,55.162,68.588,1,1,0
task_03,28.383,0,socratic,75.357,1,66.926,73.238,0,0,1
task_03,28.383,0,worked_example,68.781,1,79.5,68.041,0,0,0
task_03,28.383,0,hint_ladder,71.358,1,62.281,74.306,0,0,1
task_03,28.383,0,reflective,66.634,1,71.671,61.183,0,0,0
task_03,28.383,1,no_tutor,58.858,0,73.269,54.774,0,1,0
task_03,28.383,1,socratic,78.691,1,75.592,75.49,0,0,0
task_03,28.383,1,worked_example,71.955,1,96.201,73.771,0,1,0
task_03,28.383,1,hint_ladder,71.845,1,83.07,68.329,0,0,0
task_03,28.383,1,reflective,65.957,1,67.651,70.086,0,0,1
task_03,28.383,2,no_tutor,68.965,1,65.658,62.969,0,0,0
task_03,28.383,2,socratic,67.778,1,86.301,73.037,0,1,0
task_03,28.383,2,worked_example,65.408,1,73.331,61.648,0,0,0
task_03,28.383,2,hint_ladder,67.12,1,63.056,71.204,0,1,0
task_03,28.383,2,reflective,70.065,1,75.381,73.258,0,0,0
task_03,28.383,3,no_tutor,63.798,1,67.302,56.79,0,1,1
task_03,28.383,3,socratic,68.944,1,68.914,65.135,0,0,1
task_03,28.383,3,worked_example,67.967,1,66.329,70.62,0,0,0
task_03,28.383,3,hint_ladder,69.045,1,66.707,69.061,0,0,0
task_03,28.383,3,reflective,69.028,1,78.455,71.696,0,0,0
task_03,28.383,4,no_tutor,63.273,1,57.934,57.616,1,0,0
task_03,28.383,4,socratic,67.086,1,57.057,63.629,1,1,0
task_03,28.383,4,worked_example,66.68,1,83.37,71.445,0,0,0
task_03,28.383,4,hint_ladder,68.857,1,48.253,69.908,1,0,0
task_03,28.383,4,reflective,58.86,0,54.28,59.187,1,1,1
task_03,28.383,5,no_tutor,59.646,0,67.833,63.895,0,0,1
task_03,28.383,5,socratic,65.157,1,81.842,67.76,0,0,0
task_03,28.383,5,worked_example,67.629,1,63.038,64.896,0,0,0
task_03,28.383,5,hint_ladder,68.273,1,71.316,63.47,0,0,0
task_03,28.383,5,reflective,62.259,1,72.545,61.669,0,0,0
task_03,28.383,6,no_tutor,58.663,0,58.013,53.503,0,1,1
task_03,28.383,6,socratic,69.188,1,71.889,69.721,0,0,1
task_03,28.383,6,worked_example,70.609,1,71.918,68.107,0,0,0
task_03,28.383,6,hint_ladder,67.296,1,77.841,72.157,0,0,0
task_03,28.383,6,reflective,66.236,1,69.808,66.516,0,0,0
task_03,28.383,7,no_tutor,58.076,0,52.663,60.536,1,0,0
task_03,28.383,7,socratic,69.322,1,75.312,74.514,0,0,0
task_03,28.383,7,worked_example,67.075,1,77.673,68.63,0,0,0
task_03,28.383,7,hint_ladder,68.95,1,74.735,65.34,0,1,0
task_03,28.383,7,reflective,64.259,1,58.992,64.695,0,0,0
task_04,25.153,0,no_tutor,94.769,1,100,100,0,0,1
task_04,25.153,0,socratic,94.077,1,72.89,88.757,0,0,0
task_04,25.153,0,worked_example,98.109,1,82.968,97.961,0,0,0
task_04,25.153,0,hint_ladder,97.798,1,97.163,100,0,1,1
task_04,25.153,0,reflective,82.282,1,90.145,82.544,0,0,0
task_04,25.153,1,no_tutor,81.73,1,87.877,84.147,0,0,0
task_04,25.153,1,socratic,83.417,1,93.992,80.91,0,0,0
task_04,25.153,1,worked_example,87.878,1,90.672,89.496,0,0,0
task_04,25.153,1,hint_ladder,85.347,1,99.585,88.862,0,0,0
task_04,25.153,1,reflective,77.884,1,79.223,86.686,0,0,0
task_04,25.153,2,no_tutor,67.078,1,68.231,65.072,0,0,0
task_04,25.153,2,socratic,86.602,1,100,89.454,0,0,0
task_04,25.153,2,worked_example,89.521,1,93.672,91.771,0,0,0
task_04,25.153,2,hint_ladder,85.407,1,95.887,87.703,0,0,1
task_04,25.153,2,reflective,79.102,1,76.989,76.319,0,0,0
task_04,25.153,3,no_tutor,77.587,1,82.053,77.563,0,0,0
task_04,25.153,3,socratic,80.214,1,61.621,70.178,0,0,0
task_04,25.153,3,worked_example,92.115,1,92.817,95.376,0,0,0
task_04,25.153,3,hint_ladder,81.822,1,90.261,80.576,0,0,0
task_04,25.153,3,reflective,78.076,1,69.867,66.435,0,0,0
task_04,25.153,4,no_tutor,84.049,1,88.939,83.764,0,0,0
task_04,25.153,4,socratic,87.453,1,87.71,87.754,0,0,0
task_04,25.153,4,worked_example,91.28,1,80.96,89.728,0,0,0
task_04,25.153,4,hint_ladder,82.565,1,73.056,82.927,0,0,0
task_04,25.153,4,reflective,81.711,1,70.457,85.909,0,0,0
task_04,25.153,5,no_tutor,86.34,1,87.81,87.559,0,0,0
task_04,25.153,5,socratic,91.88,1,94.878,93.416,0,0,0
task_04,25.153,5,worked_example,91.82,1,88.992,92.766,0,0,0
task_04,25.153,5,hint_ladder,86.393,1,97.959,84.907,0,0,0
task_04,25.153,5,reflective,86.61,1,100,88.722,0,0,0
task_04,25.153,6,no_tutor,85.662,1,80.058,82.21,0,0,0
task_04,25.153,6,socratic,85.784,1,83.105,90.248,0,0,0
task_04,25.153,6,worked_example,94.584,1,84.873,96.007,0,0,0
task_04,25.153,6,hint_ladder,91.839,1,100,93.377,0,0,0
task_04,25.153,6,reflective,80.35,1,82.983,84.753,0,0,0
task_04,25.153,7,no_tutor,81.014,1,78.041,84.561,0,0,0
task_04,25.153,7,socratic,83.847,1,74.547,85.064,0,1,0
task_04,25.153,7,worked_example,90.17,1,100,89.601,0,0,0
task_04,25.153,7,hint_ladder,86.523,1,95.767,78.379,0,1,0
task_04,25.153,7,reflective,72.406,1,63.274,68.161,0,0,0
task_05,37.183,0,no_tutor,70.352,1,68.605,69.087,0,0,0
task_05,37.183,0,socratic,80.56,1,80.839,77.555,0,0,0
task_05,37.183,0,worked_example,83.235,1,69.986,77.639,0,0,0
task_05,37.183,0,hint_ladder,73.463,1,76.142,69.39,0,0,0
task_05,37.183,0,reflective,73.406,1,72.931,71.129,0,0,0
task_05,37.183,1,no_tutor,62.952,1,61.8,62.417,0,0,1
task_05,37.183,1,socratic,85.225,1,64.355,84.413,0,0,0
task_05,37.183,1,worked_example,70.995,1,80.061,83.007,0,0,0
task_05,37.183,1,hint_ladder,67.501,1,76.306,72.015,0,0,0
task_05,37.183,1,reflective,71.415,1,75.124,69.077,0,0,0
task_05,37.183,2,no_tutor,77.225,1,80.324,77.744,0,0,0
task_05,37.183,2,socratic,83.602,1,79.291,84.638,0,0,0
task_05,37.183,2,worked_example,90.603,1,78.739,86.827,0,0,0
task_05,37.183,2,hint_ladder,80.467,1,96.445,76.677,0,0,0
task_05,37.183,2,reflective,76.245,1,78.8,80.476,0,0,0
task_05,37.183,3,no_tutor,66.703,1,72.232,68.688,0,0,0
task_05,37.183,3,socratic,79.76,1,86.173,78.326,0,0,0
task_05,37.183,3,worked_example,74.661,1,93.27,81.822,0,0,1
task_05,37.183,3,hint_ladder,76.402,1,67.28,76.78,0,0,0
task_05,37.183,3,reflective,66.682,1,58.07,75.996,0,0,0
task_05,37.183,4,no_tutor,75.05,1,75.194,72.121,0,0,1
task_05,37.183,4,socratic,87.062,1,88.333,92.197,0,0,0
task_05,37.183,4,worked_example,76.947,1,90.163,76.588,0,0,0
task_05,37.183,4,hint_ladder,74.204,1,65.654,74.498,0,0,0
task_05,37.183,4,reflective,73.575,1,63.56,71.176,0,0,0
task_05,37.183,5,no_tutor,62.177,1,70.253,65.639,0,0,1
task_05,37.183,5,socratic,86.368,1,98.438,90.512,0,0,1
task_05,37.183,5,worked_example,78.991,1,92.63,83.426,0,0,1
task_05,37.183,5,hint_ladder,69.39,1,69.512,66.28,0,0,0
task_05,37.183,5,reflective,72.969,1,82.893,74.868,0,0,0
task_05,37.183,6,no_tutor,59.826,0,67.064,55.017,0,1,1
task_05,37.183,6,socratic,84.587,1,76.937,82.342,0,0,0
task_05,37.183,6,worked_example,71.924,1,64.855,71.22,0,0,0
task_05,37.183,6,hint_ladder,68.642,1,69.274,70.225,0,0,0
task_05,37.183,6,reflective,65.6,1,61.575,69.355,0,0,1
task_05,37.183,7,no_tutor,73.006,1,63.774,71.08,0,1,0
task_05,37.183,7,socratic,96.956,1,85.245,98.46,0,1,0
task_05,37.183,7,worked_example,87.71,1,90.426,88.521,0,1,0
task_05,37.183,7,hint_ladder,70.488,1,66.86,71.713,0,0,0
task_05,37.183,7,reflective,83.509,1,82.867,82.212,0,0,0
task_06,44.6,0,no_tutor,53.63,0,44.677,47.734,1,1,1
task_06,44.6,0,socratic,54.043,0,52.42,51.034,1,1,1
task_06,44.6,0,worked_example,66.808,1,61.209,71.06,0,0,0
task_06,44.6,0,hint_ladder,60.565,1,60.718,64.128,0,0,0
task_06,44.6,0,reflective,49.394,0,62.977,55.182,0,1,1
task_06,44.6,1,no_tutor,55.135,0,43.131,48.827,1,1,1
task_06,44.6,1,socratic,58.816,0,62.003,61.595,0,0,0
task_06,44.6,1,worked_example,73.307,1,83.751,75.939,0,0,1
task_06,44.6,1,hint_ladder,56.599,0,42.154,55.986,1,1,1
task_06,44.6,1,reflective,53.381,0,67.712,57.87,0,0,1
task_06,44.6,2,no_tutor,64.089,1,56.223,61.432,1,0,0
task_06,44.6,2,socratic,60.556,1,48.476,61.196,1,0,1
task_06,44.6,2,worked_example,71.996,1,52.889,70.537,1,0,0
task_06,44.6,2,hint_ladder,70.464,1,82.504,72.563,0,0,0
task_06,44.6,2,reflective,60.892,1,64.784,59.861,0,1,1
task_06,44.6,3,no_tutor,56.701,0,55.573,52.399,1,0,1
task_06,44.6,3,socratic,57.796,0,53.713,62.665,1,0,0
task_06,44.6,3,worked_example,74.088,1,71.669,77.022,0,0,0
task_06,44.6,3,hint_ladder,63.137,1,63.409,65.596,0,0,1
task_06,44.6,3,reflective,49.454,0,47.168,48.717,1,1,1
task_06,44.6,4,no_tutor,56.725,0,43.36,58.936,1,1,1
task_06,44.6,4,socratic,44.531,0,40.441,42.5,1,1,1
task_06,44.6,4,worked_example,64.229,1,49.333,57.794,1,0,1
task_06,44.6,4,hint_ladder,62.173,1,57.038,63.562,1,0,0
task_06,44.6,4,reflective,56.058,0,67.027,50.08,0,1,1
task_06,44.6,5,no_tutor,63.051,1,42.722,53.633,1,1,0
task_06,44.6,5,socratic,44.017,0,31.103,41.159,1,1,0
task_06,44.6,5,worked_example,71.519,1,81.575,77.188,0,1,0
task_06,44.6,5,hint_ladder,61.293,1,73.062,62.583,0,0,0
task_06,44.6,5,reflective,57.811,0,69.978,64.71,0,0,0
task_06,44.6,6,no_tutor,53.517,0,57.431,54.33,1,1,0
task_06,44.6,6,socratic,47.412,0,52.383,48.382,1,0,1
task_06,44.6,6,worked_example,74.775,1,82.908,73.016,0,0,0
task_06,44.6,6,hint_ladder,70.792,1,70.331,66.663,0,0,0
task_06,44.6,6,reflective,51.123,0,42.619,57.625,1,1,1
task_06,44.6,7,no_tutor,54.985,0,60.702,51.368,0,1,1
task_06,44.6,7,socratic,48.058,0,43.988,46.402,1,1,1
task_06,44.6,7,worked_example,80.399,1,69.446,78.699,0,0,0
task_06,44.6,7,hint_ladder,71.601,1,63.729,71.219,0,0,0
task_06,44.6,7,reflective,57.104,0,60.137,56.224,0,1,1
task_07,29.006,0,no_tutor,72.558,1,64.599,71.868,0,0,0
task_07,29.006,0,socratic,82.717,1,65.858,83.238,0,0,1
task_07,29.006,0,worked_example,87.537,1,62.37,79.744,0,0,0
task_07,29.006,0,hint_ladder,83.367,1,74.239,82.647,0,0,0
task_07,29.006,0,reflective,93.545,1,75.493,89.169,0,0,0
task_07,29.006,1,no_tutor,74.898,1,54.643,73.244,1,0,1
task_07,29.006,1,socratic,89.663,1,88.459,83.735,0,0,1
task_07,29.006,1,worked_example,87.414,1,74.321,85.282,0,0,0
task_07,29.006,1,hint_ladder,93.879,1,89.535,92.63,0,1,0
task_07,29.006,1,reflective,95.54,1,71.658,88.226,0,0,1
task_07,29.006,2,no_tutor,87.931,1,92.144,95.297,0,0,0
task_07,29.006,2,socratic,86.176,1,76.714,89.877,0,0,0
task_07,29.006,2,worked_example,86.859,1,82.266,82.443,0,0,0
task_07,29.006,2,hint_ladder,90.608,1,87.673,87.94,0,0,0
task_07,29.006,2,reflective,99.324,1,77.518,100,0,0,0
task_07,29.006,3,no_tutor,80.238,1,69.064,78.594,0,0,0
task_07,29.006,3,socratic,92.38,1,88.946,90.774,0,0,0
task_07,29.006,3,worked_example,93.995,1,87.087,98.082,0,0,0
task_07,29.006,3,hint_ladder,96.327,1,93.308,92.751,0,0,0
task_07,29.006,3,reflective,92.287,1,84.498,95.447,0,0,0
task_07,29.006,4,no_tutor,81.847,1,83.73,87.087,0,0,0
task_07,29.006,4,socratic,93.028,1,100,92.117,0,0,1
task_07,29.006,4,worked_example,93.159,1,100,95.479,0,0,0
task_07,29.006,4,hint_ladder,85.502,1,72.371,84.62,0,0,0
task_07,29.006,4,reflective,87.745,1,81.745,85.568,0,0,0
task_07,29.006,5,no_tutor,83.202,1,96.097,90.675,0,0,0
task_07,29.006,5,socratic,91.007,1,79.768,93.047,0,1,1
task_07,29.006,5,worked_example,87.82,1,95.666,90.639,0,0,0
task_07,29.006,5,hint_ladder,81.969,1,85.405,85.712,0,0,1
task_07,29.006,5,reflective,86.595,1,79.268,85.21,0,1,1
task_07,29.006,6,no_tutor,80.167,1,59.63,80.963,0,0,0
task_07,29.006,6,socratic,90.941,1,80.208,80.287,0,0,1
task_07,29.006,6,worked_example,88.88,1,82.793,83.723,0,0,0
task_07,29.006,6,hint_ladder,84.796,1,77.466,88.547,0,0,1
task_07,29.006,6,reflective,91.326,1,97.109,95.86,0,0,1
task_07,29.006,7,no_tutor,84.523,1,76.855,85.581,0,0,0
task_07,29.006,7,socratic,87.299,1,71.081,78.475,0,0,0
task_07,29.006,7,worked_example,83.778,1,73.698,80.173,0,1,0
task_07,29.006,7,hint_ladder,87.69,1,91.505,89.547,0,0,0
task_07,29.006,7,reflective,92.551,1,72.749,85.258,0,0,0
task_08,36.209,0,no_tutor,50.584,0,49.653,49.828,1,0,1
task_08,36.209,0,socratic,67,1,68.386,52.953,0,1,1
task_08,36.209,0,worked_example,61.563,1,55.071,61.415,1,0,0
task_08,36.209,0,hint_ladder,64.19,1,74.129,64.545,0,0,1
task_08,36.209,0,reflective,50.79,0,57.413,48.81,1,0,1
task_08,36.209,1,no_tutor,54.56,0,73.883,57.878,0,1,1
task_08,36.209,1,socratic,65.225,1,76.499,62.678,0,0,0
task_08,36.209,1,worked_example,56.085,0,67.471,58.135,0,1,1
task_08,36.209,1,hint_ladder,62.534,1,55.399,61.704,1,0,1
task_08,36.209,1,reflective,57.054,0,41.303,58.215,1,0,0
task_08,36.209,2,no_tutor,55.916,0,41.541,46.967,1,1,1
task_08,36.209,2,socratic,67.182,1,69.191,65.703,0,0,0
task_08,36.209,2,worked_example,56.309,0,66.129,58.192,0,1,1
task_08,36.209,2,hint_ladder,57.997,0,58.08,61.46,0,0,1
task_08,36.209,2,reflective,55.667,0,67.126,60.952,0,0,0
task_08,36.209,3,no_tutor,51.885,0,56.378,55.438,1,1,1
task_08,36.209,3,socratic,66.278,1,65.598,64.132,0,0,0
task_08,36.209,3,worked_example,60.966,1,49.954,60.404,1,0,0
task_08,36.209,3,hint_ladder,63.105,1,66.748,57.083,0,1,1
task_08,36.209,3,reflective,59.491,0,56.953,56.692,1,1,1
task_08,36.209,4,no_tutor,67.416,1,55.091,67.322,1,0,0
task_08,36.209,4,socratic,68.927,1,72.616,70.833,0,1,1
task_08,36.209,4,worked_example,65.528,1,60.912,61.877,0,0,0
task_08,36.209,4,hint_ladder,68.75,1,56.492,67.968,1,0,0
task_08,36.209,4,reflective,51.795,0,48.808,51.504,1,0,1
task_08,36.209,5,no_tutor,56.97,0,61.708,53.74,0,1,1
task_08,36.209,5,socratic,58.043,0,64.938,62.124,0,0,1
task_08,36.209,5,worked_example,54.52,0,45.091,52.196,1,1,0
task_08,36.209,5,hint_ladder,61.636,1,68.121,59.356,0,1,1
task_08,36.209,5,reflective,57.674,0,53.029,66.874,1,0,0
task_08,36.209,6,no_tutor,53.984,0,53.383,54.264,1,1,1
task_08,36.209,6,socratic,60.325,1,61.037,61.566,0,0,0
task_08,36.209,6,worked_example,55.607,0,59.53,56.563,0,1,1
task_08,36.209,6,hint_ladder,47.997,0,42.696,47.208,1,1,1
task_08,36.209,6,reflective,60.495,1,52.252,61.088,1,0,0
task_08,36.209,7,no_tutor,57.056,0,41.175,54.329,1,1,0
task_08,36.209,7,socratic,55.84,0,53.069,42.521,1,1,1
task_08,36.209,7,worked_example,72.654,1,58.032,71.8,0,0,0
task_08,36.209,7,hint_ladder,62.978,1,49.154,67.906,1,0,0
task_08,36.209,7,reflective,54.646,0,56.651,50.429,1,1,1
task_09,23.612,0,no_tutor,75.147,1,90.614,83.99,0,0,0
task_09,23.612,0,socratic,72.811,1,61.768,75.184,0,0,0
task_09,23.612,0,worked_example,84.034,1,100,94.089,0,0,1
task_09,23.612,0,hint_ladder,83.669,1,74.083,79.52,0,0,1
task_09,23.612,0,reflective,79.32,1,89.443,84.012,0,0,0
task_09,23.612,1,no_tutor,74.866,1,88.151,80.409,0,0,0
task_09,23.612,1,socratic,75.299,1,72.388,76.818,0,0,0
task_09,23.612,1,worked_example,72.913,1,77.03,69.273,0,0,0
task_09,23.612,1,hint_ladder,68.522,1,66.709,67.559,0,0,0
task_09,23.612,1,reflective,80.054,1,67.334,79.392,0,0,0
task_09,23.612,2,no_tutor,69.841,1,52.581,66.462,1,0,0
task_09,23.612,2,socratic,78.885,1,77.719,80.479,0,0,0
task_09,23.612,2,worked_example,80.452,1,88.454,80.664,0,0,0
task_09,23.612,2,hint_ladder,71.707,1,79.51,69.104,0,0,0
task_09,23.612,2,reflective,88.143,1,60.903,84.149,0,0,0
task_09,23.612,3,no_tutor,68.078,1,57.397,66.584,1,0,0
task_09,23.612,3,socratic,77.825,1,70.062,79.519,0,0,0
task_09,23.612,3,worked_example,77.4,1,92.917,85.458,0,0,0
task_09,23.612,3,hint_ladder,73.24,1,73.345,68.876,0,0,0
task_09,23.612,3,reflective,74.435,1,73.525,72.14,0,0,0
task_09,23.612,4,no_tutor,68.287,1,70.111,69.524,0,0,0
task_09,23.612,4,socratic,78.92,1,69.33,73.331,0,0,0
task_09,23.612,4,worked_example,75.236,1,74.449,74.218,0,1,0
task_09,23.612,4,hint_ladder,67.483,1,75.116,73.238,0,0,0
task_09,23.612,4,reflective,70.296,1,78.387,70.414,0,0,0
task_09,23.612,5,no_tutor,67.975,1,65.698,69.25,0,0,0
task_09,23.612,5,socratic,69.905,1,72.251,63.868,0,0,1
task_09,23.612,5,worked_example,68.543,1,70.327,73.79,0,0,0
task_09,23.612,5,hint_ladder,68.55,1,69.97,62.519,0,0,0
task_09,23.612,5,reflective,82.603,1,84.74,86.186,0,0,0
task_09,23.612,6,no_tutor,69.434,1,70.492,67.254,0,0,0
task_09,23.612,6,socratic,77.286,1,62.835,72.101,0,0,0
task_09,23.612,6,worked_example,74.628,1,95.777,82.949,0,1,0
task_09,23.612,6,hint_ladder,71.502,1,82.024,72.938,0,0,0
task_09,23.612,6,reflective,85.605,1,81.36,85.139,0,0,0
task_09,23.612,7,no_tutor,64.189,1,75.054,66.023,0,0,0
task_09,23.612,7,socratic,78.379,1,96.796,84.277,0,0,0
task_09,23.612,7,worked_example,68.003,1,65.99,65.122,0,0,0
task_09,23.612,7,hint_ladder,67.151,1,69.141,62.489,0,0,0
task_09,23.612,7,reflective,72.133,1,76.55,74.15,0,1,0
task_10,8,0,no_tutor,94.993,1,84.946,94.985,0,0,0
task_10,8,0,socratic,98.443,1,96.953,98.479,0,0,1
task_10,8,0,worked_example,92.477,1,78.357,87.794,0,1,0
task_10,8,0,hint_ladder,97.895,1,100,94.505,0,0,1
task_10,8,0,reflective,85.78,1,79.31,85.578,0,0,0
task_10,8,1,no_tutor,96.893,1,96.278,100,0,0,0
task_10,8,1,socratic,97.737,1,88.73,96.784,0,0,0
task_10,8,1,worked_example,99.037,1,93.807,98.314,0,0,0
task_10,8,1,hint_ladder,93.45,1,94.459,91.775,0,0,0
task_10,8,1,reflective,88.715,1,91.671,89.335,0,0,0
task_10,8,2,no_tutor,100,1,95.705,98.4,0,0,0
task_10,8,2,socratic,100,1,100,99.371,0,0,0
task_10,8,2,worked_example,95.824,1,82.161,84.509,0,0,0
task_10,8,2,hint_ladder,93.663,1,97.614,98.379,0,0,0
task_10,8,2,reflective,100,1,95.215,100,0,0,0
task_10,8,3,no_tutor,88.205,1,84.351,87.492,0,0,0
task_10,8,3,socratic,94.897,1,93.654,97.057,0,0,0
task_10,8,3,worked_example,91.197,1,94.011,89.459,0,0,1
task_10,8,3,hint_ladder,99.208,1,89.599,100,0,0,0
task_10,8,3,reflective,93.882,1,83.943,93.665,0,0,1
task_10,8,4,no_tutor,89.008,1,84.719,84.931,0,0,0
task_10,8,4,socratic,98.571,1,100,100,0,0,1
task_10,8,4,worked_example,100,1,99.947,100,0,0,0
task_10,8,4,hint_ladder,97.731,1,97.229,100,0,0,0
task_10,8,4,reflective,89.469,1,89.668,93.003,0,0,0
task_10,8,5,no_tutor,97.646,1,100,97.851,0,0,0
task_10,8,5,socratic,100,1,86.005,100,0,0,0
task_10,8,5,worked_example,97.887,1,85.137,95.392,0,0,0
task_10,8,5,hint_ladder,95.397,1,99.536,93.031,0,0,1
task_10,8,5,reflective,99.512,1,91.729,100,0,1,0
task_10,8,6,no_tutor,99.174,1,98.923,100,0,1,0
task_10,8,6,socratic,100,1,100,96.865,0,0,0
task_10,8,6,worked_example,100,1,94.79,99.666,0,0,0
task_10,8,6,hint_ladder,100,1,91.798,95.705,0,0,0
task_10,8,6,reflective,96.022,1,96.38,97.861,0,0,0
task_10,8,7,no_tutor,100,1,100,97.799,0,0,0
task_10,8,7,socratic,100,1,93.27,100,0,0,0
task_10,8,7,worked_example,99.568,1,93.053,95.526,0,0,0
